PNM ID,Last Name,First Name,Major,Minor,Year,Hometown,Hobbies,College Involvement,High School Involvement
493,Wright,Leah,Nursing,Criminology,Sophomore,"Omaha, NE","Blog Writing, Sudoku, Paddleboarding","Residence Hall Association, Language Exchange Club",Committee Lead
494,Lee,Zara,Computer Science,Italian,Sophomore,"Irving, TX","Vlogging, Songwriting","Volunteer Tutoring, Professional Development Club",Committee Lead
495,Cohen,Zara,History,Psychology,Sophomore,"Indianapolis, IN","Snowboarding, Poetry","Club Lacrosse, Campus Cultural Org, Accounting Society",Treasurer
496,Levy,Ava,Biochemistry,International Studies,Freshman,"Montclair, NJ","Pilates, Calligraphy","Campus Cultural Org, Language Exchange Club",National Honor Society
497,Smirnov,Iris,Art History,Digital Media,Freshman,"Savannah, GA","Gardening, Tennis, Baking","Product Management Club, Makers Club, DEI Council",National Honor Society
498,Thomas,Aria,Landscape Architecture,Business,Freshman,"New Orleans, LA","Sudoku, Thrifting","Photography Club, Film Club","National Honor Society, Cheerleading Captain"
499,Patel,Sloane,Information Sciences,Legal Studies,Freshman,"Morgantown, WV","Sudoku, Reading","Public Health Club, Pre-Health Society, THON Committee",National Honor Society
500,Beaumont,Charlotte,Mathematics,Global Studies,Freshman,"Philadelphia, PA","Oil Painting, Pilates Reformer","Club Lacrosse, Mock Trial",National Honor Society
501,Davis,Sofia,Journalism,Economics,Freshman,"Santa Barbara, CA","Embroidery, Fashion Styling","Makers Club, Habitat for Humanity",Student Government President
502,Morrison,Leila,Sociology,Sustainability,Freshman,"Spokane, WA","Podcast Hosting, Ukulele","Club Lacrosse, UX Design Club, Entrepreneurship Club",National Honor Society
503,Patel,Abigail,Italian,Psychology,Freshman,"San Antonio, TX","Dance, Chess","TV/Media Club, Habitat for Humanity, Pre-Law Society",National Honor Society
504,Kuznetsova,Juliet,Human Development and Family Studies,Graphic Design,Freshman,"Grand Rapids, MI","Vlogging, Yoga, Guitar","Residence Hall Association, Product Management Club",National Honor Society
505,Thorne,Abigail,Marketing,Graphic Design,Freshman,"Tampa, FL","Bread Making, Meal Prepping","Content Creators Club, Marketing Association, Habitat for Humanity",National Honor Society
506,Alvarez,Quinn,Mathematics,Digital Media,Sophomore,"Irving, TX","Surfing, Audio Editing, Swimming","TV/Media Club, Museum/Archives Club","Treasurer, Team Captain"
507,Wilson,Lucy,Rehabilitation and Human Services,International Studies,Freshman,"Omaha, NE","Videography, Sustainability Projects, Strength Training","Mock Trial, Habitat for Humanity",National Honor Society
508,Rivera,Lauren,Electrical Engineering,Philosophy,Freshman,"Irving, TX","Snowboarding, Trail Running, Indoor Cycling","Film Club, Residence Hall Association, Robotics Club","National Honor Society, Cheerleading Captain"
509,Petrov,Sage,Education,Data Science,Freshman,"Erie, PA","Reading, Meal Prepping","THON Committee, Public Speaking Club",National Honor Society
510,Sullivan,Lauren,Economics,German,Freshman,"Chapel Hill, NC","Baking, Content Creation","Model UN, Residence Hall Association",National Honor Society
511,Hayes,Iris,Nutritional Sciences,Economics,Freshman,"Indianapolis, IN","Photo Editing, Urban Sketching","Sustainability Club, Honors Society",National Honor Society
512,Chowdhury,Juniper,Art History,Environmental Studies,Freshman,"Media, PA","Trail Running, Graphic Design","Professional Development Club, Museum/Archives Club, Entrepreneurship Club",National Honor Society
513,Shah,Layla,Mathematics,Economics,Sophomore,"Fort Collins, CO","Sewing, Dance","Accounting Society, Photography Club","National Honor Society, Team Captain"
514,Chen,Maya,Physics,Chinese,Freshman,"Montclair, NJ","Pilates, Pickleball","Consulting Club, Urban Sketching Club",National Honor Society
515,Mendoza,Meera,Film and Media Studies,Data Science,Freshman,"Eugene, OR","Barre, Content Creation, Strength Training","Pre-Law Society, Habitat for Humanity",National Honor Society
516,Rosen,Piper,Environmental Science,Italian,Junior,"Dallas, TX","Film Photography, Composting","Investment Club, Research Lab Assistant",National Honor Society
517,Vance,Elena,Business Analytics,Graphic Design,Freshman,"Denver, CO","Piano, Strength Training","DEI Council, THON Committee, Art Club",National Honor Society
518,Brown,Vivian,Energy Engineering,Journalism,Freshman,"State College, PA","Poetry, Digital Illustration","Makers Club, Sustainability Club",National Honor Society
519,Rivera,Sophia,Landscape Architecture,Spanish,Freshman,"Boulder, CO","Yoga, Videography","Model UN, Urban Sketching Club","National Honor Society, Cheerleading Captain"
520,Singh,Riya,French,Criminology,Freshman,"Pasadena, CA","Gaming, Audio Editing, Choir Singing","THON Committee, Art Club",National Honor Society
521,Levy,Penelope,International Politics,Statistics,Junior,"Eugene, OR","Photo Editing, Gaming, Ukulele","Model UN, Product Management Club","Team Captain, Cheerleading Captain"
522,Wright,Sofia,Physics,Energy Business,Freshman,"Wilkes-Barre, PA","Photography, Pilates, Videography","Film Club, Data Science Club",National Honor Society
523,Carter,Beatrix,Anthropology,Studio Art,Junior,"Durham, NC","Cooking, Oil Painting","THON Committee, Language Exchange Club","Team Captain, National Honor Society"
524,Thorne,Rowan,Broadcast Journalism,French,Freshman,"Morgantown, WV","Surfing, Pilates","Public Speaking Club, Intramural Soccer",National Honor Society
525,Mendoza,Charlotte,Biochemistry,Computer Science,Sophomore,"Chicago, IL","Skiing, Kayaking","THON Committee, Wellness Club, Sustainability Club",Project Lead
526,Martin,Ava,Psychology,Computer Science,Freshman,"Knoxville, TN","Calligraphy, Rock Climbing","Club Volleyball, Makers Club, Consulting Club",National Honor Society
527,Jackson,Amelia,Environmental Science,Statistics,Freshman,"Huntsville, AL","Coffee Brewing, Rock Climbing, Hiking","Model UN, THON Committee, Design Club",National Honor Society
528,Lee,Zoey,Journalism,Psychology,Sophomore,"Newtown, PA","Content Creation, Podcast Hosting","Content Creators Club, Campus Cultural Org",Committee Lead
529,Harris,Quinn,Environmental Science,Chinese,Freshman,"State College, PA","Podcast Hosting, Composting, Gaming","Habitat for Humanity, Case Competition Team",National Honor Society
530,Martinez,Aria,Chemical Engineering,International Studies,Freshman,"Irving, TX","Board Games, Pilates Reformer, Poetry","Debate Society, Accounting Society, Design Club",National Honor Society
531,Foster,Noor,Mechanical Engineering,Energy Business,Freshman,"Pittsburgh, PA","Photography, Board Games, Poetry","Peer Mentor Program, Honors Society, Daily Collegian",Cheerleading Captain
532,Vance,Camille,Data Science,Business,Freshman,"Sacramento, CA","Baking, Vlogging","Orientation Leader Program, Language Exchange Club",National Honor Society
533,Kaur,Lily,Anthropology,Italian,Sophomore,"Baton Rouge, LA","Film Photography, Meal Prepping, Coffee Brewing","Orientation Leader Program, Case Competition Team",Team Captain
534,Henderson,Blair,Criminology,Global Studies,Freshman,"Grand Rapids, MI","Composting, Cooking","Outing Club, Museum/Archives Club, Data Science Club",National Honor Society
535,Rivera,Hannah,International Studies,Communication Arts,Freshman,"Jacksonville, FL","Reading, Pilates Reformer, Houseplant Collecting","Language Exchange Club, Club Volleyball",National Honor Society
536,Ali,Clara,Digital Media,Psychology,Sophomore,"Santa Barbara, CA","Bread Making, Sudoku","Club Volleyball, Data Science Club","National Honor Society, Project Lead"
537,Goldberg,Sofia,Physics,Political Science,Freshman,"Lansing, MI","Board Games, Journaling, Chess","Campus Radio, Consulting Club","Student Government President, Yearbook Editor, Cheerleading Captain"
538,Khan,Freya,Sociology,Global Studies,Freshman,"Chicago, IL","Cooking, Pickleball, Surfing","Entrepreneurship Club, Art Club",National Honor Society
539,Lee,Sofia,Energy Engineering,Spanish,Freshman,"El Paso, TX","Gardening, Oil Painting, Reading","Daily Collegian, Data Science Club",National Honor Society
540,Thorne,Lily,Statistics,French,Freshman,"Hershey, PA","Snowboarding, Strength Training","Photography Club, Public Speaking Club",National Honor Society
541,Wright,Olivia,Nursing,Data Science,Freshman,"New Orleans, LA","Gaming, Oil Painting","Investment Club, Wellness Club","National Honor Society, Cheerleading Captain"
542,Shah,Scarlett,Sustainability Studies,Communication Arts,Sophomore,"Newport Beach, CA","Hiking, Journaling, Sustainability Projects","Mock Trial, Student Programming Association, Hackathon Org","Committee Lead, National Honor Society"
543,Castillo,Lily,Physics,Sustainability,Freshman,"Cambridge, MA","Kayaking, Coffee Brewing","Wellness Club, Debate Society","Cheerleading Captain, National Honor Society"
544,Brooks,Harper,Interior Design,Mathematics,Freshman,"Toledo, OH","Photography, Graphic Design","Model UN, Club Volleyball",National Honor Society
545,Santos,Isla,Accounting,Sociology,Junior,"Huntsville, AL","Houseplant Collecting, Crocheting, Audio Editing","Design Club, UX Design Club, Product Management Club","Treasurer, National Honor Society"
546,Foster,Rowan,Mathematics,Global Studies,Freshman,"New Haven, CT","Ukulele, Meal Prepping, Yoga","Urban Sketching Club, TV/Media Club, Women in Tech (WICS)",National Honor Society
547,Murphy,Lucy,Architecture,Human Development,Freshman,"Doylestown, PA","Guitar, Hiking","Business Fraternity, Product Management Club",National Honor Society
548,Clark,Ava,Nutritional Sciences,International Relations,Freshman,"Virginia Beach, VA","Reading, Embroidery","DEI Council, TV/Media Club, Peer Mentor Program","National Honor Society, Cheerleading Captain"
549,Vance,Abigail,Mathematics,Business,Sophomore,"Vancouver, BC","Guitar, Oil Painting","Campus Radio, Makers Club, Public Speaking Club","Team Captain, Project Lead"
550,Shah,Freya,Business Analytics,Graphic Design,Freshman,"Dublin, IE","Reading, Poetry, Urban Sketching","Residence Hall Association, Pre-Law Society, Urban Sketching Club",National Honor Society
551,Khan,Ella,Digital Media,Ethics,Freshman,"Conshohocken, PA","Sudoku, Snowboarding, Bread Making","Hackathon Org, Wellness Club",National Honor Society
552,Rosen,Sage,Elementary Education,Art History,Freshman,"Charlottesville, VA","Yoga, Poetry, Trail Running","International Affairs Club, Debate Society","National Honor Society, Student Government President"
553,Hassan,Mia,Accounting,Global Studies,Freshman,"Fort Worth, TX","Poetry, Barre","Design Club, Debate Society",National Honor Society
554,Patel,Madison,Cybersecurity,Entrepreneurship,Freshman,"Brooklyn, NY","Thrifting, Calligraphy, Cooking","Language Exchange Club, Mock Trial",National Honor Society
555,Brown,Lily,Sociology,Data Science,Sophomore,"Eugene, OR","Creative Writing, Board Games","International Affairs Club, Intramural Soccer","Team Captain, Treasurer"
556,Vance,Clara,Kinesiology,Public Policy,Sophomore,"Lansing, MI","Coffee Brewing, Strength Training","Hackathon Org, Intramural Soccer",Treasurer
557,Ahmed,Amelia,Economics,Political Science,Freshman,"Albuquerque, NM","Embroidery, Painting","Art Club, Language Exchange Club",National Honor Society
558,Wright,Lucy,Sociology,Economics,Freshman,"Wilmington, DE","Calligraphy, Sustainability Projects","Community Outreach Club, Product Management Club",National Honor Society
559,Miller,Naomi,Chemical Engineering,International Relations,Freshman,"Toronto, ON","Pilates Reformer, Rock Climbing","Film Club, Club Volleyball, Art Club",National Honor Society
560,Wilson,Evelyn,Studio Art,Political Science,Freshman,"Jacksonville, FL","Journaling, Barre, Oil Painting","International Affairs Club, Urban Sketching Club",National Honor Society
561,Nagiub,Sloane,Human Development and Family Studies,German,Freshman,"Lexington, KY","Gardening, Strength Training","Orientation Leader Program, Product Management Club",Cheerleading Captain
562,Montgomery,Grace,Statistics,Digital Media,Freshman,"Jacksonville, FL","Sewing, Vintage Collecting, Yoga","Club Lacrosse, UX Design Club, Campus Cultural Org",National Honor Society
563,SigmundJohnson,Audrey,Criminology,Ethics,Freshman,"Durham, NC","Board Games, Sudoku, Photography","Hackathon Org, Photography Club, Investment Club",National Honor Society
564,Parker,Hannah,Electrical Engineering,Sociology,Sophomore,"Queens, NY","Meal Prepping, Podcast Hosting","Intramural Soccer, Wellness Club, Orientation Leader Program","Team Captain, Project Lead"
565,Garcia,Aria,Journalism,Art History,Freshman,"Durham, NC","Vlogging, Choir Singing","Campus Cultural Org, Peer Mentor Program",National Honor Society
566,Davis,Madison,Astronomy,Art History,Freshman,"Calgary, AB","Reading, Vintage Collecting, Baking","Physics Society, Mock Trial",National Honor Society
567,Smirnov,Lily,Broadcast Journalism,Journalism,Freshman,"Houston, TX","Urban Sketching, Ukulele","Content Creators Club, Volunteer Tutoring, Investment Club",Cheerleading Captain
568,Vance,Elena,Italian,Journalism,Freshman,"Bloomington, IN","Pilates Reformer, Thrifting","Marketing Association, Daily Collegian","Student Government President, Student Council"
569,Wright,Cecilia,Supply Chain,Public Policy,Sophomore,"Chapel Hill, NC","Watercolor, Songwriting, Chess","Language Exchange Club, Model UN","Yearbook Editor, Committee Lead"
570,Ali,Mariam,Industrial Engineering,Film Studies,Freshman,"Bethlehem, PA","Composting, Sustainability Projects, Baking","Museum/Archives Club, Campus Radio",National Honor Society
571,Whitaker,Mia,Microbiology,Journalism,Freshman,"Fresno, CA","Guitar, Tennis","Makers Club, Orientation Leader Program",National Honor Society
572,Castillo,Quinn,Elementary Education,Business,Freshman,"San Diego, CA","Embroidery, Baking","Mock Trial, Honors Society",National Honor Society
573,Sullivan,Ava,Secondary Education,Human Development,Freshman,"Nashville, TN","Reading, Cooking, Meal Prepping","Research Lab Assistant, Pre-Law Society",Cheerleading Captain
574,Perez,Nora,Political Science,International Relations,Freshman,"Washington, DC","Photo Editing, Pilates Reformer","Data Science Club, Museum/Archives Club",National Honor Society
575,Carter,Vivian,Human Development and Family Studies,Arabic,Freshman,"Bethlehem, PA","Film Photography, Journaling, Blog Writing","Club Volleyball, Student Programming Association, THON Committee",National Honor Society
576,Sullivan,Nora,Arabic,Mathematics,Freshman,"Bellevue, WA","Pickleball, Blog Writing","Club Volleyball, Investment Club","Choir, Band, Student Government President"
577,Thomas,Vivian,Biomedical Engineering,Digital Media,Sophomore,"Hartford, CT","Poetry, Paddleboarding","Hackathon Org, Model UN, Outing Club","Committee Lead, Project Lead"
578,Perez,Leila,German,Studio Art,Freshman,"Pittsburgh, PA","Dance, Volleyball, Embroidery","International Affairs Club, Museum/Archives Club",National Honor Society
579,Nagiub,Priya,Education,Business,Freshman,"Irving, TX","Kayaking, Board Games, Snowboarding","Pre-Health Society, UX Design Club","Cheerleading Captain, National Honor Society"
580,Goldberg,Sophia,Landscape Architecture,Ethics,Junior,"El Paso, TX","Snowboarding, Creative Writing","Daily Collegian, Language Exchange Club",Lacrosse Captain
581,Foster,Aaliyah,Information Sciences,Criminology,Sophomore,"Birmingham, AL","Fashion Styling, Videography","Mock Trial, Professional Development Club",Project Lead
582,Ahmed,Ava,Environmental Science,Journalism,Sophomore,"Evanston, IL","Sustainability Projects, Sewing, Ukulele","Club Volleyball, Honors Society","Treasurer, National Honor Society"
583,Reynolds,Blair,International Politics,Entrepreneurship,Freshman,"Queens, NY","Dance, Urban Sketching","Wellness Club, Model UN, Women in Business",National Honor Society
584,Gupta,Camille,Finance,Human Development,Freshman,"Las Vegas, NV","Rock Climbing, Calligraphy","Art Club, TV/Media Club",National Honor Society
585,Thompson,Abigail,Film and Media Studies,Sociology,Sophomore,"Lancaster, PA","Painting, Content Creation, Songwriting","Habitat for Humanity, Professional Development Club, Pre-Law Society","Treasurer, Project Lead"
586,Nguyen,Leah,Anthropology,Computer Science,Sophomore,"Dover, DE","Sudoku, Calligraphy","Outing Club, DEI Council","Project Lead, Team Captain"
587,Harris,Brooke,Rehabilitation and Human Services,Communication Arts,Freshman,"Athens, GA","Board Games, Pickleball","Pre-Law Society, Design Club",National Honor Society
588,Shah,Noor,Supply Chain,Philosophy,Freshman,"Scottsdale, AZ","Snowboarding, Baking","Peer Mentor Program, Outing Club",National Honor Society
589,Sanders,Vivian,Special Education,Criminology,Sophomore,"Newport, RI","Pilates Reformer, Journaling","Education Society, Student Government",Team Captain
590,Ali,Isla,Human Development and Family Studies,French,Freshman,"Orlando, FL","Audio Editing, Dance, Meal Prepping","Wellness Club, UX Design Club, Club Lacrosse",National Honor Society
591,Singh,Fatima,Health Policy,Mathematics,Freshman,"Cambridge, MA","Blog Writing, Sustainability Projects","Photography Club, Case Competition Team, Volunteer Tutoring",National Honor Society
592,Martin,Iris,Finance,Economics,Freshman,"Bend, OR","Calligraphy, Embroidery","Business Fraternity, Data Science Club, Design Club",National Honor Society
593,Lopez,Zoey,Computer Science,Philosophy,Freshman,"Fort Lauderdale, FL","Yoga, Swimming","Peer Mentor Program, Language Exchange Club, Student Programming Association",National Honor Society
594,Carter,Charlotte,Italian,Global Studies,Freshman,"Oakland, CA","Reading, Pilates Reformer","Language Exchange Club, Honors Society, Entrepreneurship Club",National Honor Society
595,Brooks,Priya,Art History,Legal Studies,Sophomore,"Toledo, OH","Piano, Songwriting, Bread Making","Habitat for Humanity, DEI Council, Outing Club",Committee Lead
596,Sanders,Iris,Sociology,Psychology,Freshman,"Annapolis, MD","Watercolor, Videography, Swimming","International Affairs Club, Makers Club, Habitat for Humanity",National Honor Society
597,Thomas,Noor,Biochemistry,Italian,Freshman,"Syracuse, NY","Bread Making, Barre, Houseplant Collecting","Entrepreneurship Club, International Affairs Club, Debate Society",National Honor Society
598,Moore,Emily,Art History,Studio Art,Freshman,"Vancouver, BC","Barre, Videography","Film Club, Sustainability Club",National Honor Society
599,Sanders,Stella,Digital Media,Mathematics,Freshman,"Bethesda, MD","Volleyball, Rock Climbing","Residence Hall Association, Film Club",National Honor Society
600,Kaur,Lily,Public Relations,Economics,Sophomore,"Newark, NJ","Volleyball, Vintage Collecting","Residence Hall Association, Investment Club",National Honor Society
601,Nguyen,Harper,Marketing,Journalism,Freshman,"Columbia, SC","Tennis, Sudoku","Hackathon Org, Pre-Law Society, Club Volleyball",National Honor Society
602,Brown,Salma,Italian,German,Freshman,"Lexington, KY","Volleyball, Chess, Skiing","Entrepreneurship Club, Museum/Archives Club",National Honor Society
603,Reynolds,Emma,Biology,French,Sophomore,"Montclair, NJ","Pilates, Strength Training, Thrifting","Public Speaking Club, TV/Media Club",Team Captain
604,Goldberg,Meera,International Studies,Entrepreneurship,Freshman,"London, UK","Tennis, Surfing","International Affairs Club, Mock Trial, UX Design Club",National Honor Society
605,Perez,Madison,Chinese,Spanish,Freshman,"Ann Arbor, MI","Songwriting, Watercolor","UX Design Club, Campus Radio",National Honor Society
606,Ivanova,Charlotte,Architecture,German,Freshman,"Charleston, SC","Hiking, Thrifting","Public Speaking Club, Hackathon Org, Research Lab Assistant",National Honor Society
607,Hayes,Sydney,Computer Science,Environmental Studies,Freshman,"Toledo, OH","Hiking, Watercolor","Residence Hall Association, Product Management Club, Accounting Society",National Honor Society
608,Martinez,Emma,Chinese,Human Development,Sophomore,"Indianapolis, IN","Tennis, Blog Writing","Student Government, Club Volleyball","Project Lead, National Honor Society"
609,Jones,Nina,Political Science,Ethics,Sophomore,"Stamford, CT","Composting, Surfing","Student Programming Association, Public Health Club","Committee Lead, Treasurer"
610,Rivera,Scarlett,Mechanical Engineering,Psychology,Freshman,"Huntsville, AL","Cooking, Composting","Daily Collegian, Language Exchange Club",National Honor Society
611,Morrison,Sage,Education,Health Policy,Sophomore,"Oak Park, IL","Indoor Cycling, Dance","Club Lacrosse, THON Committee",Committee Lead
612,Beaumont,Blair,Special Education,Mathematics,Freshman,"Memphis, TN","Blog Writing, Strength Training","Consulting Club, International Affairs Club",National Honor Society
613,Henderson,Hazel,Journalism,Art History,Freshman,"New Haven, CT","Sudoku, Songwriting, Gardening","Peer Mentor Program, Museum/Archives Club",National Honor Society
614,Montgomery,Penelope,International Politics,Sociology,Freshman,"London, UK","Strength Training, Paddleboarding","Supply Chain Association, Product Management Club",National Honor Society
615,Friedman,Nina,Electrical Engineering,German,Freshman,"Ann Arbor, MI","Volleyball, Watercolor","Product Management Club, Honors Society, Women in Business",National Honor Society
616,Beaumont,Sage,Sociology,German,Freshman,"Montreal, QC","Reading, Meal Prepping","Content Creators Club, Hackathon Org",National Honor Society
617,Smirnov,Harper,Studio Art,Film Studies,Sophomore,"Detroit, MI","Fashion Styling, Podcast Hosting, Guitar","Accounting Society, Honors Society, Campus Cultural Org",Treasurer
618,Morrison,Charlotte,Mechanical Engineering,Public Policy,Freshman,"Austin, TX","Barre, Volleyball","Urban Sketching Club, Business Fraternity, Entrepreneurship Club",Cheerleading Captain
619,Rivera,Zara,Broadcast Journalism,Ethics,Junior,"Ann Arbor, MI","Houseplant Collecting, Chess","Product Management Club, THON Committee",Cheerleading Captain
620,Singh,Harper,Architecture,Data Science,Junior,"Newtown, PA","Coffee Brewing, Thrifting, Embroidery","Daily Collegian, DEI Council","Team Captain, Committee Lead"
621,Wilson,Anya,Public Relations,International Relations,Freshman,"Princeton, NJ","Bread Making, Podcast Hosting, Board Games","Club Volleyball, Content Creators Club",Student Government President
622,Chowdhury,Lily,Human Development and Family Studies,Criminology,Freshman,"Eugene, OR","Vlogging, Yoga","Peer Mentor Program, Business Fraternity, Orientation Leader Program",National Honor Society
623,Vance,Brooke,Health Policy,Global Studies,Freshman,"San Jose, CA","Sudoku, Swimming","International Affairs Club, Business Fraternity",National Honor Society
624,Singh,Lily,Broadcast Journalism,Statistics,Freshman,"Santa Barbara, CA","Sudoku, Thrifting","Supply Chain Association, DEI Council, Case Competition Team",National Honor Society
625,Murphy,Freya,Management,Art History,Freshman,"Kansas City, MO","Baking, Snowboarding","Community Outreach Club, Photography Club",National Honor Society
626,Santos,Priya,Political Science,German,Freshman,"Morristown, NJ","Embroidery, Calligraphy","Design Club, Peer Mentor Program, Volunteer Tutoring",National Honor Society
627,Thomas,Amelia,Chinese,Psychology,Sophomore,"Harrisburg, PA","Rock Climbing, Urban Sketching, Trail Running","Outing Club, Campus Cultural Org",Treasurer
628,Chowdhury,Abigail,Data Science,Mathematics,Junior,"Stamford, CT","Thrifting, Embroidery, Oil Painting","Volunteer Tutoring, Residence Hall Association, Public Health Club","Project Lead, Treasurer"
629,Nguyen,Audrey,Biomedical Engineering,Legal Studies,Freshman,"Oakland, CA","Trail Running, Embroidery","Habitat for Humanity, Film Club",National Honor Society
630,Vance,Stella,Information Sciences,Spanish,Freshman,"Albany, NY","Sustainability Projects, Vlogging","Model UN, Hackathon Org",National Honor Society
631,Ahmed,Isabella,Film and Media Studies,Digital Media,Freshman,"New Orleans, LA","Digital Illustration, Pickleball","Campus Radio, International Affairs Club",National Honor Society
632,Lopez,Nina,Management,German,Freshman,"Nashville, TN","Skiing, Rock Climbing","Photography Club, Debate Society",National Honor Society
633,Sanders,Piper,Marketing,Journalism,Freshman,"Phoenix, AZ","Indoor Cycling, Choir Singing","Mock Trial, Case Competition Team",National Honor Society
634,Wilson,Sydney,Art History,Health Policy,Freshman,"Indianapolis, IN","Sewing, Houseplant Collecting, Oil Painting","Outing Club, DEI Council",National Honor Society
635,Petrov,Corrina,French,Ethics,Freshman,"Silver Spring, MD","Strength Training, Podcast Hosting","Product Management Club, Content Creators Club, Public Speaking Club",National Honor Society
636,Murphy,Sloane,Nursing,Ethics,Freshman,"Buffalo, NY","Pilates, Tennis","Hackathon Org, Club Lacrosse",National Honor Society
637,Ali,Leah,Anthropology,Computer Science,Sophomore,"New York, NY","Chess, Baking, Urban Sketching","Community Outreach Club, Model UN, UX Design Club",Team Captain
638,Patel,Beatrix,Marketing,Film Studies,Freshman,"Raleigh, NC","Hiking, Choir Singing","Sustainability Club, Wellness Club",National Honor Society
639,Harris,Layla,Environmental Science,Art History,Sophomore,"Harrisburg, PA","Indoor Cycling, Baking","International Affairs Club, Sustainability Club",Team Captain
640,Jackson,Noor,Communications,Philosophy,Freshman,"Silver Spring, MD","Pickleball, Cooking","Public Health Club, Film Club","Cheerleading Captain, National Honor Society"
641,Anderson,Zoey,Biology,Sustainability,Freshman,"Saint Paul, MN","Cooking, Pilates","Campus Cultural Org, Makers Club",National Honor Society
642,Jones,Rowan,Information Sciences,French,Freshman,"San Francisco, CA","Barre, Bread Making","Product Management Club, Club Volleyball, Business Fraternity","Cheerleading Captain, National Honor Society"
643,Chowdhury,Emma,Mechanical Engineering,Philosophy,Junior,"Scottsdale, AZ","Pilates, Painting","Consulting Club, ASME Member",Project Lead
644,Anderson,Sydney,Finance,Economics,Freshman,"Fort Collins, CO","Songwriting, Crocheting","Business Fraternity, Museum/Archives Club",National Honor Society
645,White,Emma,Microbiology,Spanish,Sophomore,"Syracuse, NY","Cooking, Dance, Songwriting","Pre-Law Society, Urban Sketching Club, Language Exchange Club","Project Lead, National Honor Society"
646,Martin,Naomi,Nutritional Sciences,French,Freshman,"Calgary, AB","Barre, Dance, Baking","Language Exchange Club, Content Creators Club, Habitat for Humanity",National Honor Society
647,Goldberg,Amelia,Applied Mathematics,Global Studies,Freshman,"Knoxville, TN","Barre, Videography","Supply Chain Association, Marketing Association, Volunteer Tutoring",National Honor Society
648,Rahman,Leila,Broadcast Journalism,Art History,Freshman,"Rochester, NY","Pilates Reformer, Choir Singing","Daily Collegian, Marketing Association",National Honor Society
649,Lee,Camille,German,International Studies,Freshman,"Indianapolis, IN","Creative Writing, Photo Editing, Skiing","Campus Cultural Org, Urban Sketching Club, DEI Council",National Honor Society
650,Nguyen,Isabella,Architecture,Journalism,Freshman,"Minneapolis, MN","Photography, Urban Sketching","DEI Council, Volunteer Tutoring","National Honor Society, Student Government President"
651,Foster,Freya,Early Childhood Education,Public Policy,Freshman,"Media, PA","Oil Painting, Audio Editing","Professional Development Club, Model UN",National Honor Society
652,Harris,Abigail,Sociology,International Studies,Freshman,"Toronto, ON","Pilates, Pickleball","Intramural Soccer, Makers Club",National Honor Society
653,Hassan,Lily,Biochemistry,Sociology,Freshman,"Saint Paul, MN","Content Creation, Paddleboarding","Makers Club, UX Design Club, Photography Club",National Honor Society
654,Jackson,Blair,Landscape Architecture,Criminology,Freshman,"Fort Wayne, IN","Journaling, Piano","Club Volleyball, Orientation Leader Program, Debate Society",National Honor Society
655,Bennett,Abigail,Graphic Design,Global Studies,Freshman,"San Antonio, TX","Blog Writing, Paddleboarding","Habitat for Humanity, Intramural Soccer",National Honor Society
656,Perez,Amelia,Industrial Engineering,International Relations,Sophomore,"Alexandria, VA","Board Games, Piano","Urban Sketching Club, Hackathon Org",Cheerleading Captain
657,Alvarez,Elena,Health Policy,Film Studies,Freshman,"Tampa, FL","Embroidery, Paddleboarding, Indoor Cycling","Content Creators Club, Campus Cultural Org, Campus Radio",National Honor Society
658,Levy,Rowan,Cognitive Science,Political Science,Freshman,"Lansing, MI","Ukulele, Audio Editing","Art Club, Daily Collegian",National Honor Society
659,Foster,Sophia,Cybersecurity,Studio Art,Freshman,"Paris, FR","Rock Climbing, Houseplant Collecting, Creative Writing","Art Club, Club Volleyball, CTF Team",National Honor Society
660,Smirnov,Vivian,Cognitive Science,Public Policy,Sophomore,"Brooklyn, NY","Dance, Sewing","Data Science Club, Outing Club","Project Lead, National Honor Society"
661,Mehta,Zara,Philosophy,Mathematics,Sophomore,"Bloomington, IN","Hiking, Trail Running","Club Volleyball, Marketing Association","Committee Lead, Team Captain"
662,Rivera,Freya,Electrical Engineering,Philosophy,Freshman,"Oak Park, IL","Meal Prepping, Calligraphy, Snowboarding","Photography Club, Student Programming Association",National Honor Society
663,Alvarez,Freya,Communications,Ethics,Freshman,"Tallahassee, FL","Strength Training, Trail Running","Public Speaking Club, Campus Cultural Org",National Honor Society
664,Thorne,Harper,Applied Mathematics,Digital Media,Freshman,"Bethesda, MD","Coffee Brewing, Piano","Mock Trial, Club Volleyball","Science Olympiad, Yearbook Editor, Student Government President"
665,Mendoza,Isabella,Cognitive Science,Sustainability,Sophomore,"Brooklyn, NY","Baking, Vlogging","Research Lab Assistant, Sustainability Club","Committee Lead, Team Captain"
666,Sullivan,Priya,Cybersecurity,Studio Art,Freshman,"Hershey, PA","Gaming, Graphic Design","Women in Business, Museum/Archives Club","Varsity Lacrosse, Student Government President, Model UN"
667,Montgomery,Charlotte,Environmental Science,Digital Media,Freshman,"London, UK","Piano, Hiking, Cooking","Mock Trial, Consulting Club, Public Health Club",National Honor Society
668,O'Connor,Camille,Cognitive Science,International Relations,Freshman,"Rochester, NY","Strength Training, Sudoku","Orientation Leader Program, Business Fraternity, Content Creators Club",National Honor Society
